ECO_ID,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM,ECO_BIOME_,NNH,NNH_NAME
268,South China-Vietnam subtropical evergreen forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,4,Nature Imperiled
267,South China Sea Islands,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,3,Nature Could Recover
298,South Deccan Plateau dry deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,IN02,4,Nature Imperiled
841,South Iran Nubo-Sindian desert and semi-desert,13,Deserts & Xeric Shrublands,Palearctic,PA13,3,Nature Could Recover
194,New Zealand South Island montane grasslands,10,Montane Grasslands & Shrublands,Australasia,AU10,3,Nature Could Recover
172,New Zealand South Island temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,AU04,3,Nature Could Recover
131,South Orkney Islands tundra,11,Tundra,Antarctica,AN11,1,Half Protected
842,South Sahara desert,13,Deserts & Xeric Shrublands,Palearctic,PA13,2,Nature Could Reach Half Protected
738,South Siberian forest steppe,8,"Temperate Grasslands, Savannas & Shrublands",Palearctic,PA08,3,Nature Could Recover
269,South Taiwan monsoon rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,2,Nature Could Reach Half Protected
132,South Victoria Land tundra,11,Tundra,Antarctica,AN11,1,Half Protected
270,South Western Ghats moist deciduous forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,3,Nature Could Recover
271,South Western Ghats montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,2,Nature Could Reach Half Protected
176,Southeast Australia temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,AU04,4,Nature Imperiled
192,Southeast Australia temperate savanna,8,"Temperate Grasslands, Savannas & Shrublands",Australasia,AU08,2,Nature Could Reach Half Protected
765,Southeast Tibet shrublands and meadows,10,Montane Grasslands & Shrublands,Palearctic,PA10,3,Nature Could Recover
400,Southeast US mixed woodlands and savannas,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,NE08,4,Nature Imperiled
399,Southeast US conifer savannas,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,NE08,4,Nature Imperiled
